rhakhis_wfo,taxonid,family,genus,specificepithet,infraspecificepithet,scientfiicname,scientfiicnameauthorship,taxonrank,taxonomicstatus,acceptednameusageid,parentnameusageid,originalnameusageid,namepublishedin,nomenclaturalstatus,taxonremarks,scientificnameid,references,rhakhis_parent,rhakhis_accepted,rhakhis_pk,rhakhis_skip,rhakhis_rank,rhakhis_status,rhakhis_basionym,subfamily
wfo-0000187749,3012949,Fabaceae,Labichea,lanceolata,lanceolata,Labichea lanceolata subsp. lanceolata,,Subspecies,Accepted,3012949,2350879,,Unknown,,Western Australia,ipni:90080-3,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:90080-3,wfo-0000187740,,58395,,,,,Dialioideae
wfo-4000023240,2368514,Fabaceae,Martiodendron,,,Martiodendron,Gleason,Genus,Accepted,2368514,,,Phytologia 1: 141 (1935),,N. South America to Bolivia,ipni:326830-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:326830-2,wfo-4100002417,,59251,,,,,Dialioideae
wfo-0000578497,2690049,Fabaceae,Caesalpinia,procera,,Caesalpinia procera,Poepp. ex Spreng.,Species,Synonym,2539568,,,"Syst. Veg., ed. 16. 2: 343 (1825)",,,ipni:482873-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:482873-1,,wfo-0000174236,59326,,,,,Dialioideae
wfo-0000187826,2350786,Fabaceae,Labichea,punctata,,Labichea punctata,Benth.,Species,Accepted,2350786,2350870,,"J.Lindley, Sketch Veg. Swan R.: 15 (1839)",,SW. Western Australia,ipni:501393-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:501393-1,wfo-4000020324,,59406,,,,,Dialioideae
wfo-0001056934,2881943,Fabaceae,Martiusia,elata,angustifolia,Martiusia elata f. angustifolia,Ducke,Form,Synonym,2881942,,,Legum. Amaz. Bras.: 87 (1939),,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2881943-4,,wfo-0001056933,59497,,,,,Dialioideae
wfo-0000188412,2350878,Fabaceae,Labichea,eremaea,,Labichea eremaea,C.A.Gardner,Species,Accepted,2350878,2350870,,J. Roy. Soc. Western Australia 27: 175 (1942),,Western Australia,ipni:501390-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:501390-1,wfo-4000020324,,60632,,,,,Dialioideae
wfo-0000187738,2350872,Fabaceae,Labichea,brassii,,Labichea brassii,C.T.White & W.D.Francis,Species,Accepted,2350872,2350870,,Proc. Roy. Soc. Queensland 41: 140 (1929),,N. Queensland,ipni:501385-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:501385-1,wfo-4000020324,,60968,,,,,Dialioideae
wfo-0000169428,2368519,Fabaceae,Martiodendron,mediterraneum,,Martiodendron mediterraneum,(Mart. ex Benth.) Köppen,Species,Accepted,2368519,2368514,2634875,Brittonia 14: 203 (1962),,N. & NE. Brazil (to N. Minas Gerais),ipni:153729-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:153729-2,wfo-4000023240,,61117,,,,,Dialioideae
wfo-0000468409,2535953,Fabaceae,Poeppigia,ferruginea,,Poeppigia ferruginea,Tul.,Species,Synonym,2539568,,,Arch. Mus. Hist. Nat. 4: 120 (1844),,,ipni:515472-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:515472-1,,wfo-0000174236,61447,,,,,Dialioideae
wfo-0000205663,2446621,Fabaceae,Uittienia,modesta,,Uittienia modesta,Steenis,Species,Accepted,2446621,2446612,,"Bull. Jard. Bot. Buitenzorg, sér. 3, 17: 418 (1948)",,"Sumatera, Borneo",ipni:524266-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:524266-1,wfo-4000039708,,61571,,,,,Dialioideae
wfo-0000172267,2634875,Fabaceae,Amphymenium,mediterraneum,,Amphymenium mediterraneum,Mart. ex Benth.,Species,Synonym,2368519,,,Comm. Legum. Gen.: 31 (1837),,,ipni:473951-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:473951-1,,wfo-0000169428,61721,,,,,Dialioideae
wfo-0000187852,2350850,Fabaceae,Labichea,rupestris,,Labichea rupestris,Benth.,Species,Accepted,2350850,2350870,,"T.L.Mitchell, J. Exped. Trop. Australia: 342 (1848)",,Queensland,ipni:501394-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:501394-1,wfo-4000020324,,62288,,,,,Dialioideae
