rhakhis_wfo,taxonid,family,genus,specificepithet,infraspecificepithet,scientfiicname,scientfiicnameauthorship,taxonrank,taxonomicstatus,acceptednameusageid,parentnameusageid,originalnameusageid,namepublishedin,nomenclaturalstatus,taxonremarks,scientificnameid,references,rhakhis_parent,rhakhis_accepted,rhakhis_pk,rhakhis_skip,rhakhis_rank,rhakhis_status,rhakhis_basionym,Subgenus,subfamily
wfo-0000469504,2538518,Fabaceae,Pauletia,ovata,,Pauletia ovata,Bong.,Species,Synonym,2671904.0,,,"Mém. Acad. Imp. Sci. Saint-Pétersbourg, Sér. 6, Sci. Math., Seconde Pt. Sci. Nat. 4(2, Bot.): 132 (1838)",,,ipni:512832-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:512832-1,,wfo-0000173926,33302,,,,,,Cercidoideae
wfo-1000043242,3289397,Fabaceae,Bauhinia,andrade-limae,,Bauhinia andrade-limae,A.C.B.Santos & Vaz,Species,Accepted,3289397.0,2671275.0,,Phytotaxa 576: 290 (2022),,"Brazil (Alagoas, Pernambuco)",ipni:77311186-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77311186-1,wfo-4000004242,,33303,,,,,,Cercidoideae
wfo-0000176297,2672180,Fabaceae,Bauhinia,venturii,,Bauhinia venturii,Lillo,Species,Invalid,2672173.0,,,Contr. Conoc. Arb. Argent.: 37 (1910),", nom. nud.",,ipni:30201-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30201-2,,wfo-0000173949,33310,,,,,,Cercidoideae
wfo-0000193297,2671914,Fabaceae,Bauhinia,parviflora,,Bauhinia parviflora,Vahl,Species,Synonym,2672000.0,,,Symb. Bot. 3: 55 (1794),,,ipni:481543-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481543-1,,wfo-0000213166,33321,,,,,,Cercidoideae
wfo-0000163973,2672123,Fabaceae,Bauhinia,subrotundifolia,,Bauhinia subrotundifolia,Cav.,Species,Accepted,2672123.0,2671275.0,,Icon. 5: 4 (1799),,"C. & SW. Mexico, Cuba",ipni:481706-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481706-1,wfo-4000004242,,33407,,,,,,Cercidoideae
wfo-0000176271,2538505,Fabaceae,Pauletia,pentandra,,Pauletia pentandra,Bong.,Species,Synonym,2671927.0,,,"Mém. Acad. Imp. Sci. Saint-Pétersbourg, Sér. 6, Sci. Math., Seconde Pt. Sci. Nat. 4(2, Bot.): 126 (1838)",,,ipni:512833-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:512833-1,,wfo-0000173928,33411,,,,,,Cercidoideae
wfo-0001049537,2671479,Fabaceae,Bauhinia,cordata,,Bauhinia cordata,Vogel,Species,Synonym,2671689.0,,,Linnaea 11: 308 (1837),,,ipni:481226-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481226-1,,wfo-0000176287,33563,,,,,,Cercidoideae
wfo-0000212888,2671383,Fabaceae,Bauhinia,bowkeri,,Bauhinia bowkeri,Harv.,Species,Accepted,2671383.0,2671275.0,,"W.H.Harvey & auct. suc. (eds.), Fl. Cap. 2: 596 (1894)",,Cape Prov. to KwaZulu-Natal,ipni:481150-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481150-1,wfo-4000004242,,33649,,,,,,Cercidoideae
wfo-0000166193,2671853,Fabaceae,Bauhinia,microphylla,,Bauhinia microphylla,Vogel,Species,Synonym,2671354.0,,,Linnaea 13: 301 (1839),,,ipni:481501-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481501-1,,wfo-0000163904,33726,,,,,,Cercidoideae
wfo-0000469484,2538491,Fabaceae,Pauletia,faberi,,Pauletia faberi,(Oliv.) A.Schmitz,Species,Synonym,2671385.0,,2671573.0,Bull. Soc. Roy. Bot. Belgique 110: 15 (1977),,,ipni:512804-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:512804-1,,wfo-0000196998,33743,,,,,,Cercidoideae
wfo-0000176287,2671689,Fabaceae,Bauhinia,holophylla,,Bauhinia holophylla,(Bong.) Steud.,Species,Accepted,2671689.0,2671275.0,2538477.0,"Nomencl. Bot., ed. 2, 1: 191 (1840)",,Bolivia to Brazil and Paraguay,ipni:481381-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481381-1,wfo-4000004242,,33776,,,,,,Cercidoideae
wfo-0000183869,2671625,Fabaceae,Bauhinia,glandulosa,,Bauhinia glandulosa,(Kunth) DC.,Species,Synonym,3242744.0,,2538495.0,Prodr. 2: 513 (1825),,,ipni:481334-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481334-1,,wfo-0000179407,33922,,,,,,Cercidoideae
