rhakhis_wfo,taxonid,family,genus,specificepithet,infraspecificepithet,scientfiicname,scientfiicnameauthorship,taxonrank,taxonomicstatus,acceptednameusageid,parentnameusageid,originalnameusageid,namepublishedin,nomenclaturalstatus,taxonremarks,scientificnameid,references,rhakhis_parent,rhakhis_accepted,rhakhis_pk,rhakhis_skip,rhakhis_rank,rhakhis_status,rhakhis_basionym,subfamily
wfo-4000027597,2388559,Fabaceae,Oxystigma,,,Oxystigma,Harms,Genus,Synonym,2536362,,,"H.G.A.Engler & K.A.E.Prantl, Nat. Pflanzenfam., Nachtr. 1: 195 (1897)",,,ipni:23116-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:23116-1,,wfo-4000031174,86618,,,,,Detarioideae
wfo-0000169378,2366084,Fabaceae,Macrolobium,gracile,,Macrolobium gracile,Spruce ex Benth.,Species,Accepted,2366084,2366400,,"C.F.P.von Martius & auct. suc. (eds.), Fl. Bras. 15(2): 223 (1870)",,S. Trop. America,ipni:505698-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:505698-1,wfo-4000022724,,86703,,,,,Detarioideae
wfo-0000169634,2331493,Fabaceae,Julbernardia,microphylla,,Julbernardia microphylla,Troupin,Species,Synonym,2367958,,,Bull. Jard. Bot. État Bruxelles 20: 320 (1950),,,ipni:501142-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:501142-1,,wfo-0000169623,86813,,,,,Detarioideae
wfo-0001319459,2376505,Fabaceae,Macrolobium,campestre,longibracteatum,Macrolobium campestre var. longibracteatum,R.S.Cowan,Variety,Synonym,2366446,,,Mem. New York Bot. Gard. 8: 303 (1953),,,ipni:148907-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:148907-2,,wfo-0000169364,86840,,,,,Detarioideae
wfo-0000168354,2414902,Fabaceae,Peltogyne,altissima,,Peltogyne altissima,Ducke,Species,Accepted,2414902,2538385,,"Bull. Mus. Natl. Hist. Nat., sér. 2, 4: 726 (1932)",,SE. Colombia to Peru and Brazil (Amazonas),ipni:512975-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:512975-1,wfo-4000028510,,86881,,,,,Detarioideae
wfo-0000176988,2388408,Fabaceae,Outea,multijuga,,Outea multijuga,DC.,Species,Synonym,2366282,,,Prodr. 2: 510 (1825),,,ipni:511144-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:511144-1,,wfo-0000174430,86942,,,,,Detarioideae
wfo-0000199647,2592105,Fabaceae,Saraca,biglandulosa,,Saraca biglandulosa,Pierre,Species,Synonym,2592079,,,Fl. Forest. Cochinch.: t. 387A (1899),,,ipni:517884-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:517884-1,,wfo-0000192941,86969,,,,,Detarioideae
wfo-0000634320,2752308,Fabaceae,Cynometra,koko,,Cynometra koko,De Wild.,Species,Synonym,2351174,,,Pl. Bequaert. 3: 100 (1925),,,ipni:489431-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:489431-1,,wfo-0000169346,86977,,,,,Detarioideae
wfo-0001058800,2735842,Fabaceae,Copaifera,galedupa,,Copaifera galedupa,(Prain) Oken,Species,Synonym,2591069,,2591069,Allg. Naturgesch. 3(3): 1714 (1841),,,ipni:486998-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:486998-1,,wfo-0000206242,86981,,,,,Detarioideae
wfo-0001052758,2366079,Fabaceae,Macrolobium,foldatsii,,Macrolobium foldatsii,R.S.Cowan,Species,Synonym,2366314,,,Bol. Soc. Venez. Ci. Nat. 22: 280 (1961),,,ipni:148937-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:148937-2,,wfo-0001277596,87005,,,,,Detarioideae
